epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.249,6.04406,18.5413,8.65297,0.35658,0.00417,0.00352,0.0008,5.24641,11.1591,12.0631,0.00331852,0.00331852,0.00331852
2,287.465,5.83556,12.5178,7.9049,0.71381,0.02639,0.01354,0.0038,4.84948,9.07617,6.6095,0.00664527,0.00664527,0.00664527
3,431.61,4.61414,6.14613,5.28827,0.38846,0.31854,0.29798,0.14628,3.74969,4.31077,4.38581,0.00996541,0.00996541,0.00996541
4,576.902,3.57706,3.77189,3.90177,0.48503,0.54802,0.53674,0.33565,2.87075,3.06848,3.31491,0.0099703,0.0099703,0.0099703
5,722.246,2.89969,2.69513,3.14691,0.58117,0.66583,0.69448,0.46331,2.33508,2.04802,2.68223,0.0099604,0.0099604,0.0099604
6,867.977,2.48484,2.10788,2.75142,0.67807,0.73062,0.77851,0.52084,2.37996,1.841,2.59764,0.0099505,0.0099505,0.0099505
7,1013.53,2.22998,1.76596,2.51766,0.67966,0.76317,0.78901,0.53513,2.20178,1.76426,2.43978,0.0099406,0.0099406,0.0099406
8,1158.91,2.06204,1.57402,2.37598,0.74692,0.81596,0.863,0.60577,2.02632,1.36312,2.27548,0.0099307,0.0099307,0.0099307
9,1303.66,1.93697,1.43802,2.30215,0.81913,0.7688,0.88502,0.66906,1.80332,1.22145,2.16554,0.0099208,0.0099208,0.0099208
10,1448.02,1.81522,1.32195,2.21207,0.86779,0.84029,0.93734,0.69915,1.74821,1.11047,2.14195,0.0099109,0.0099109,0.0099109
11,1592.74,1.75884,1.24542,2.17406,0.84794,0.88191,0.94708,0.68915,1.83211,1.09092,2.17465,0.009901,0.009901,0.009901
12,1738.08,1.68909,1.16993,2.12288,0.83882,0.86977,0.93785,0.70474,1.68765,1.10835,2.06323,0.0098911,0.0098911,0.0098911
13,1883.17,1.62687,1.12627,2.09869,0.83144,0.89643,0.93857,0.70921,1.77017,1.01597,2.12365,0.0098812,0.0098812,0.0098812
14,2028.3,1.55217,1.04737,2.0457,0.84599,0.86185,0.93364,0.71859,1.70381,0.98861,2.06266,0.0098713,0.0098713,0.0098713
15,2173.58,1.52232,1.0139,2.03352,0.85428,0.87589,0.94336,0.74117,1.65289,1.01108,2.06,0.0098614,0.0098614,0.0098614
16,2320.16,1.50092,0.99701,2.04267,0.8857,0.88684,0.95841,0.74277,1.72824,0.99817,2.00772,0.0098515,0.0098515,0.0098515
17,2464.2,1.45997,0.94642,2.00819,0.897,0.90259,0.96132,0.75369,1.60786,0.96789,2.01208,0.0098416,0.0098416,0.0098416
18,2607.19,1.42164,0.90925,1.98145,0.94356,0.89565,0.97794,0.78028,1.50953,0.79097,1.99196,0.0098317,0.0098317,0.0098317
19,2749.9,1.39269,0.88916,1.97018,0.90662,0.93131,0.97416,0.76212,1.52684,0.81433,2.00702,0.0098218,0.0098218,0.0098218
20,2893.86,1.35405,0.86359,1.95103,0.92248,0.91407,0.97711,0.78408,1.51908,0.80905,1.98403,0.0098119,0.0098119,0.0098119
21,3036.47,1.33581,0.84247,1.93838,0.89585,0.88689,0.95046,0.77855,1.43333,0.86751,1.98712,0.009802,0.009802,0.009802
22,3178.15,1.30098,0.82084,1.92469,0.91471,0.89596,0.97042,0.78173,1.46392,0.79446,1.92779,0.0097921,0.0097921,0.0097921
23,3321.68,1.28655,0.82171,1.92622,0.94178,0.89627,0.97677,0.7688,1.53155,0.78106,2.00382,0.0097822,0.0097822,0.0097822
24,3464.05,1.25958,0.78746,1.90233,0.93979,0.92748,0.98044,0.79119,1.45642,0.74967,1.97603,0.0097723,0.0097723,0.0097723
25,3605.8,1.24224,0.76353,1.89701,0.93574,0.90785,0.97535,0.79035,1.43799,0.77227,1.88309,0.0097624,0.0097624,0.0097624
26,3746.79,1.21592,0.74559,1.88463,0.922,0.93509,0.9826,0.80868,1.41551,0.70751,1.91411,0.0097525,0.0097525,0.0097525
27,3889.18,1.20981,0.73497,1.87687,0.94672,0.93611,0.98482,0.81368,1.37269,0.67596,1.88581,0.0097426,0.0097426,0.0097426
28,4029.94,1.20136,0.73028,1.87085,0.94404,0.93326,0.97984,0.81194,1.41075,0.73957,1.9243,0.0097327,0.0097327,0.0097327
29,4171.69,1.17859,0.71652,1.86586,0.93587,0.92221,0.9787,0.80553,1.35733,0.68604,1.92529,0.0097228,0.0097228,0.0097228
30,4317.2,1.16124,0.70604,1.85643,0.94664,0.946,0.98629,0.80118,1.40767,0.69233,1.92173,0.0097129,0.0097129,0.0097129
31,4463.25,1.14915,0.70442,1.84872,0.93741,0.93917,0.98321,0.8001,1.37783,0.6879,1.89098,0.009703,0.009703,0.009703
32,4609.62,1.14108,0.69031,1.84964,0.94903,0.92787,0.98138,0.80572,1.36143,0.68189,1.89708,0.0096931,0.0096931,0.0096931
33,4754.88,1.13256,0.68383,1.84666,0.92821,0.93113,0.97827,0.79362,1.39191,0.65163,1.96932,0.0096832,0.0096832,0.0096832
34,4901.47,1.11482,0.68221,1.83806,0.92679,0.93977,0.98169,0.81652,1.4013,0.65956,1.94059,0.0096733,0.0096733,0.0096733
